gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000126368.6_NR1D1,194.3637401,-0.895519231,0.174948737,-5.118752195,3.08E-07,2.39E-05
ENSG00000272269.1_AL138724.1,143.710674,0.929272322,0.181566744,5.118075612,3.09E-07,2.39E-05
ENSG00000103064.15_SLC7A6,999.7672199,0.552539111,0.108358073,5.099196545,3.41E-07,2.62E-05
ENSG00000080823.23_MOK,966.4892789,0.521454864,0.102352227,5.094709498,3.49E-07,2.67E-05
ENSG00000187678.9_SPRY4,1338.797924,0.370208079,0.07295802,5.074261557,3.89E-07,2.95E-05
ENSG00000057704.13_TMCC3,307.5953004,-0.858133463,0.169580901,-5.060319044,4.19E-07,3.16E-05
ENSG00000102554.14_KLF5,384.775883,-0.625935858,0.123789416,-5.056457005,4.27E-07,3.20E-05
ENSG00000172927.8_MYEOV,4141.22327,0.239221534,0.047325909,5.054768898,4.31E-07,3.21E-05
ENSG00000132510.10_KDM6B,191.0050342,0.750424922,0.148762076,5.044463888,4.55E-07,3.37E-05
ENSG00000180730.4_SHISA2,475.367035,0.542620289,0.107958775,5.026180476,5.00E-07,3.68E-05
ENSG00000124067.17_SLC12A4,827.8950711,0.467893919,0.093244483,5.017926027,5.22E-07,3.82E-05
ENSG00000033170.16_FUT8,1958.290517,-0.353057696,0.070398495,-5.015131326,5.30E-07,3.83E-05
ENSG00000129474.16_AJUBA,2537.845085,0.351371754,0.070051908,5.01587697,5.28E-07,3.83E-05
ENSG00000118523.6_CCN2,4486.678224,-0.302028395,0.060286453,-5.009888307,5.45E-07,3.92E-05
ENSG00000106346.11_USP42,240.9389627,0.621885595,0.12437086,5.000251612,5.73E-07,4.09E-05
ENSG00000239306.4_RBM14,1116.483124,0.379377291,0.075927637,4.996563898,5.84E-07,4.15E-05
ENSG00000097007.18_ABL1,2091.862627,0.314567904,0.062995591,4.993490757,5.93E-07,4.19E-05
ENSG00000213588.6_ZBTB9,413.5676133,0.504745731,0.101157719,4.989690704,6.05E-07,4.25E-05
ENSG00000187607.16_ZNF286A,295.2626382,0.648307735,0.130259512,4.977047173,6.46E-07,4.51E-05
ENSG00000198042.11_MAK16,509.6692174,0.490954471,0.098822683,4.968034232,6.76E-07,4.70E-05
ENSG00000133056.13_PIK3C2B,54.73274573,-1.687862727,0.340143532,-4.962207331,6.97E-07,4.81E-05
ENSG00000105576.15_TNPO2,2764.633435,0.387784927,0.078236476,4.956574544,7.17E-07,4.93E-05
ENSG00000167470.12_MIDN,506.1927796,0.468129806,0.094602336,4.948395825,7.48E-07,5.11E-05
ENSG00000204256.13_BRD2,4356.223935,0.209756539,0.042397653,4.947362025,7.52E-07,5.11E-05
ENSG00000275131.3_AC241952.1,525.3553788,0.562611483,0.114113831,4.930265492,8.21E-07,5.55E-05
ENSG00000143786.8_CNIH3,224.6946943,-0.698930889,0.142658364,-4.899333425,9.62E-07,6.46E-05
ENSG00000145901.15_TNIP1,2776.509919,0.267814805,0.054805614,4.886630894,1.03E-06,6.85E-05
ENSG00000169908.12_TM4SF1,3885.151314,0.30876392,0.06333442,4.875136132,1.09E-06,7.23E-05
ENSG00000108854.16_SMURF2,4880.57223,0.315947939,0.064859553,4.87126298,1.11E-06,7.33E-05
ENSG00000265190.6_ANXA8,1155.422585,0.376893416,0.07743527,4.867206053,1.13E-06,7.44E-05
ENSG00000002587.10_HS3ST1,209.6559044,-0.62328603,0.128791307,-4.839503891,1.30E-06,8.51E-05
ENSG00000049759.18_NEDD4L,2059.504416,0.364377754,0.075454384,4.829113125,1.37E-06,8.92E-05
ENSG00000178104.19_PDE4DIP,1179.54092,0.352955023,0.073243387,4.81893368,1.44E-06,9.34E-05
ENSG00000126705.14_AHDC1,531.0278015,0.692323648,0.143888445,4.811530557,1.50E-06,9.64E-05
ENSG00000162139.10_NEU3,224.7371548,0.6765853,0.140687005,4.809152787,1.52E-06,9.71E-05
ENSG00000128944.13_KNSTRN,1141.674038,0.349487285,0.072744555,4.804308531,1.55E-06,9.89E-05
ENSG00000184371.14_CSF1,3482.336634,0.280602491,0.0585549,4.792126575,1.65E-06,0.000104585
ENSG00000127191.18_TRAF2,871.1849906,0.454306888,0.095162457,4.774013834,1.81E-06,0.000113283
ENSG00000129226.14_CD68,1202.70372,-0.348692185,0.073034793,-4.774329766,1.80E-06,0.000113283
